Best romantic vacation ever!!!!	Translation	Positive	Negative	EmotionRationale
Very comfy beds, great lobby/bathroom	Very comfy beds, great lobby/bathroom	3	-1	 Very[0] comfy[0] beds[0] great[2] lobby/bathroom[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Staff went out of their way after checkout to locate an item...	Staff went out of their way after checkout to locate an item.	1	-1	 Staff[0] went[0] out[0] of[0] their[0] way[0] after[0] checkout[0] to[0] locate[0] an[0] item[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great city location, very clean and modern hotel with good staff . Don't miss the happy hour	Great city location, very clean and modern hotel with good staff .<br> Don't miss the happy hour	3	-1	 Great[2] city[0] location[0] very[0] clean[0] and[0] modern[0] hotel[0] with[0] good[1] staff[0] [[Sentence=-1,3=word max, 1-5]] Don't[0] miss[-1][NegatedDueToPreviousWord] the[0] happy[1] hour[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
Good hotel terrible room rate!	Good hotel terrible room rate!	2	-4	 Good[1] hotel[0] terrible[-3] room[0] rate[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
Comfortable hotel in a great location.	Comfortable hotel in a great location.	3	-1	 Comfortable[1] hotel[0] in[0] a[0] great[2] location[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
A fun place to stay with great staff and lots going on in...	A fun place to stay with great staff and lots going on in.	3	-1	 A[0] fun[1] place[0] to[0] stay[0] with[0] great[2] staff[0] and[0] lots[0] going[0] on[0] in[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Honestly one of the best stays I've ever had (and I travel a lot!)	Honestly one of the best stays I've ever had (and I travel a lot!	2	-1	 Honestly[0] one[0] of[0] the[0] best[1] stays[0] I've[0] ever[0] had[0] and[0] I[0] travel[0] a[0] lot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Beautiful hotel and great value	Beautiful hotel and great value	3	-1	 Beautiful[2] hotel[0] and[0] great[2] value[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
PERFECTION	PERFECTION	2	-1	 PERFECTION[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Fun, Funky Energy to a Shiny New Hotel	Fun, Funky Energy to a Shiny New Hotel	2	-1	 Fun[1] Funky[0] Energy[0] to[0] a[0] Shiny[0] New[0] Hotel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Fun place and great staff	Fun place and great staff	3	-1	 Fun[1] place[0] and[0] great[2] staff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Cool hotel in a perfect location	Cool hotel in a perfect location	2	-1	 Cool[1] hotel[0] in[0] a[0] perfect[1] location[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great location and staff	Great location and staff	3	-1	 Great[2] location[0] and[0] staff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
I thought flying Virgin was great.... this exceeded my expectations	I thought flying Virgin was great.<br> this exceeded my expectations	3	-1	 I[0] thought[0] flying[0] Virgin[0] was[0] great[2] [[Sentence=-1,3=word max, 1-5]] this[0] exceeded[0] my[0] expectations[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
Excellent stay -- I will return	Excellent stay - I will return	4	-1	 Excellent[3] stay[0] I[0] will[0] return[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Everything	Everything	1	-1	 Everything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Exceptional hotel	Exceptional hotel	1	-1	 Exceptional[0] hotel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great location to attend a hockey game!	Great location to attend a hockey game!	3	-1	 Great[2] location[0] to[0] attend[0] a[0] hockey[0] game[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
I loved the quirkiness and style of the hotel.	I loved the quirkiness and style of the hotel.	4	-1	 I[0] loved[3] the[0] quirkiness[0] and[0] style[0] of[0] the[0] hotel[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Clean and cozy	Clean and cozy	2	-1	 Clean[0] and[0] cozy[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Poor hotel option. More like a poor 3 star.	Poor hotel option.<br> More like a poor 3 star.	2	-2	 Poor[-1] hotel[0] option[0] [[Sentence=-2,1=word max, 1-5]] More[0] like[1] a[0] poor[-1] 3[0] star[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
Location to the garden	Location to the garden	1	-1	 Location[0] to[0] the[0] garden[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Complete and good	Complete and good	2	-1	 Complete[0] and[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Perfect	Perfect	2	-1	 Perfect[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Dont look past The Boxer for Boston accommodation.	Dont look past The Boxer for Boston accommodation.	1	-1	 Dont[0] look[0] past[0] The[0] Boxer[0] for[0] Boston[0] accommodation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great location for a reasonable price in Boston.	Great location for a reasonable price in Boston.	3	-1	 Great[2] location[0] for[0] a[0] reasonable[0] price[0] in[0] Boston[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nice place but way overpriced	nice place but way overpriced	2	-1	 nice[1] place[0] but[0] way[0] overpriced[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
The Boxer Boston a let down and should have been better!	The Boxer Boston a let down and should have been better!	1	-1	 The[0] Boxer[0] Boston[0] a[0] let[0] down[0] and[0] should[0] have[0] been[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
poor room comfort	poor room comfort	2	-2	 poor[-1] room[0] comfort[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
The whole 5 day experience at the hotel was superb- the...	The whole 5 day experience at the hotel was superb- the.	1	-1	 The[0] whole[0] 5[0] day[0] experience[0] at[0] the[0] hotel[0] was[0] superb[0] the[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
The location	The location	1	-1	 The[0] location[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Close to TD Garden	Close to TD Garden	1	-1	 Close[0] to[0] TD[0] Garden[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Good location.	Good location.	2	-1	 Good[1] location[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
The coolest hotel! Everything is excellent	The coolest hotel!<br> Everything is excellent	4	-1	 The[0] coolest[2] hotel[0] [[Sentence=-1,3=word max, 1-5]] Everything[0] is[0] excellent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
They were very accommodating. They offer a free breakfast buffet which was a nice surprise.	They were very accommodating.<br> They offer a free breakfast buffet which was a nice surprise.	2	-1	 They[0] were[0] very[0] accommodating[0] [[Sentence=-1,1=word max, 1-5]] They[0] offer[0] a[0] free[0] breakfast[0] buffet[0] which[0] was[0] a[0] nice[1] surprise[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
IN THE HEART OF BOSTON...'cause they got heart!	IN THE HEART OF BOSTON.<br>'cause they got heart!	1	-1	 IN[0] THE[0] HEART[0] OF[0] BOSTON[0] [[Sentence=-1,1=word max, 1-5]] 'cause[0] they[0] got[0] heart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Good but not great.	Good but not great.	2	-3	 Good[1] but[0] not[0] great[2][NegatedDueToPreviousWord] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
We enjoyed the convenience of staying here while we attended a concert at the Boston Garden.	We enjoyed the convenience of staying here while we attended a concert at the Boston Garden.	3	-1	 We[0] enjoyed[2] the[0] convenience[0] of[0] staying[0] here[0] while[0] we[0] attended[0] a[0] concert[0] at[0] the[0] Boston[0] Garden[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Friendly and prompt service.	Friendly and prompt service.	2	-1	 Friendly[1] and[0] prompt[0] service[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
More please	More please	2	-1	 More[0] please[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Made the trip even better bookending the day at the hotel.	Made the trip even better bookending the day at the hotel.	1	-1	 Made[0] the[0] trip[0] even[0] better[0] bookending[0] the[0] day[0] at[0] the[0] hotel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great place to stay while taking in an event at TD garden	Great place to stay while taking in an event at TD garden	3	-1	 Great[2] place[0] to[0] stay[0] while[0] taking[0] in[0] an[0] event[0] at[0] TD[0] garden[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Free apples and fruit Infused Water in the lobby.	Free apples and fruit Infused Water in the lobby.	1	-1	 Free[0] apples[0] and[0] fruit[0] Infused[0] Water[0] in[0] the[0] lobby[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A marvelous location, very friendly crew, it's clear...	A marvelous location, very friendly crew, it's clear.	3	-1	 A[0] marvelous[0] location[0] very[0] friendly[1][1 LastWordBoosterStrength] crew[0] it's[0] clear[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Pleasant stay in this hotel.	Pleasant stay in this hotel.	3	-1	 Pleasant[2] stay[0] in[0] this[0] hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Room was great.	Room was great.	3	-1	 Room[0] was[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Free water and apples	Free water and apples	1	-1	 Free[0] water[0] and[0] apples[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
awesome hotel	awesome hotel	3	-1	 awesome[2] hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Classic and Close	Classic and Close	1	-1	 Classic[0] and[0] Close[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Free water and apples	Free water and apples	1	-1	 Free[0] water[0] and[0] apples[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Location, staff, aesthetics, price.	Location, staff, aesthetics, price.	1	-1	 Location[0] staff[0] aesthetics[0] price[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
We were happy to stay there for a weekend in Boston. The location and amenities worked well for us.	We were happy to stay there for a weekend in Boston.<br> The location and amenities worked well for us.	2	-1	 We[0] were[0] happy[1] to[0] stay[0] there[0] for[0] a[0] weekend[0] in[0] Boston[0] [[Sentence=-1,2=word max, 1-5]] The[0] location[0] and[0] amenities[0] worked[0] well[0] for[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
The staff were friendly and helpful.	The staff were friendly and helpful.	2	-1	 The[0] staff[0] were[0] friendly[1] and[0] helpful[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
A quirky and comfortable place	A quirky and comfortable place	2	-1	 A[0] quirky[0] and[0] comfortable[1] place[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Had a wonderful time exploring the whole north end of the city on foot from this awesome location!	Had a wonderful time exploring the whole north end of the city on foot from this awesome location!	3	-1	 Had[0] a[0] wonderful[2] time[0] exploring[0] the[0] whole[0] north[0] end[0] of[0] the[0] city[0] on[0] foot[0] from[0] this[0] awesome[2] location[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Very friendly staff.	Very friendly staff.	3	-1	 Very[0] friendly[1][1 LastWordBoosterStrength] staff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great hotel.	Great hotel.	3	-1	 Great[2] hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
I will stay there again!	I will stay there again!	1	-1	 I[0] will[0] stay[0] there[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Restaurant closed	Restaurant closed	1	-1	 Restaurant[0] closed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nice hotel, well located near the Boston public market	nice hotel, well located near the Boston public market	2	-1	 nice[1] hotel[0] well[0] located[0] near[0] the[0] Boston[0] public[0] market[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
At least it wasnt too far from TD garden.	At least it wasnt too far from TD garden.	1	-1	 At[0] least[0] it[0] wasnt[0] too[0] far[0] from[0] TD[0] garden[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
It was great	It was great	3	-1	 It[0] was[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Staff was great, room small but clean and organized well.	Staff was great, room small but clean and organized well.	3	-1	 Staff[0] was[0] great[2] room[0] small[0] but[0] clean[0] and[0] organized[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Perfect location if you're attending an even at the...	Perfect location if you're attending an even at the.	2	-1	 Perfect[1] location[0] if[0] you're[0] attending[0] an[0] even[0] at[0] the[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Dont look past The Boxer for Boston accommodation.	Dont look past The Boxer for Boston accommodation.	1	-1	 Dont[0] look[0] past[0] The[0] Boxer[0] for[0] Boston[0] accommodation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Quirky and fun hotel.	Quirky and fun hotel.	2	-1	 Quirky[0] and[0] fun[1] hotel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
